2023-03-12 00:10:06 INFO  WebdriverEvents:174 - Got text from [[ChromeDriver: chrome on WINDOWS (e84d242facf31c4e95067425958f7543)] -> id: uploadedFilePath]
2023-03-12 00:15:25 INFO  WebdriverEvents:43 - navigating to https://demoqa.com/
2023-03-12 00:15:28 INFO  WebdriverEvents:49 - Navigated to https://demoqa.com/
2023-03-12 00:15:28 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.category-cards>div:first-of-type
2023-03-12 00:15:28 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.category-cards>div:first-of-type
2023-03-12 00:15:28 INFO  WebdriverEvents:102 - Clicking on [[ChromeDriver: chrome on WINDOWS (f8aa1b2d78f23568a18312805064dbb0)] -> css selector: div.category-cards>div:first-of-type]
2023-03-12 00:15:28 INFO  WebdriverEvents:108 - Clicked on [[ChromeDriver: chrome on WINDOWS (f8aa1b2d78f23568a18312805064dbb0)] -> css selector: div.category-cards>div:first-of-type]
2023-03-12 00:15:28 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-03-12 00:15:28 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-03-12 00:15:57 INFO  WebdriverEvents:43 - navigating to https://demoqa.com/
2023-03-12 00:15:59 INFO  WebdriverEvents:49 - Navigated to https://demoqa.com/
2023-03-12 00:15:59 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.category-cards>div:first-of-type
2023-03-12 00:15:59 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.category-cards>div:first-of-type
2023-03-12 00:15:59 INFO  WebdriverEvents:102 - Clicking on [[ChromeDriver: chrome on WINDOWS (43dafb05479ea95172f1927d99a42fc4)] -> css selector: div.category-cards>div:first-of-type]
2023-03-12 00:15:59 INFO  WebdriverEvents:108 - Clicked on [[ChromeDriver: chrome on WINDOWS (43dafb05479ea95172f1927d99a42fc4)] -> css selector: div.category-cards>div:first-of-type]
2023-03-12 00:15:59 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-03-12 00:15:59 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-03-12 00:16:00 INFO  WebdriverEvents:90 - Finding element By.id: downloadButton
2023-03-12 00:16:00 INFO  WebdriverEvents:96 - Elelement Found By.id: downloadButton
2023-03-12 00:16:00 INFO  WebdriverEvents:102 - Clicking on [[ChromeDriver: chrome on WINDOWS (43dafb05479ea95172f1927d99a42fc4)] -> id: downloadButton]
2023-03-12 00:16:00 INFO  WebdriverEvents:108 - Clicked on [[ChromeDriver: chrome on WINDOWS (43dafb05479ea95172f1927d99a42fc4)] -> id: downloadButton]
2023-03-12 00:16:03 INFO  WebdriverEvents:43 - navigating to https://demoqa.com/
2023-03-12 00:16:06 INFO  WebdriverEvents:49 - Navigated to https://demoqa.com/
2023-03-12 00:16:06 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.category-cards>div:first-of-type
2023-03-12 00:16:06 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.category-cards>div:first-of-type
2023-03-12 00:16:06 INFO  WebdriverEvents:102 - Clicking on [[ChromeDriver: chrome on WINDOWS (3834ef40be1a02de7cfa73b48d911bc8)] -> css selector: div.category-cards>div:first-of-type]
2023-03-12 00:16:07 INFO  WebdriverEvents:108 - Clicked on [[ChromeDriver: chrome on WINDOWS (3834ef40be1a02de7cfa73b48d911bc8)] -> css selector: div.category-cards>div:first-of-type]
2023-03-12 00:16:07 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-03-12 00:16:07 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-03-12 00:16:07 INFO  WebdriverEvents:90 - Finding element By.id: uploadFile
2023-03-12 00:16:07 INFO  WebdriverEvents:96 - Elelement Found By.id: uploadFile
2023-03-12 00:16:07 INFO  WebdriverEvents:90 - Finding element By.id: uploadedFilePath
2023-03-12 00:16:07 INFO  WebdriverEvents:96 - Elelement Found By.id: uploadedFilePath
2023-03-12 00:16:07 INFO  WebdriverEvents:168 - Getting text from [[ChromeDriver: chrome on WINDOWS (3834ef40be1a02de7cfa73b48d911bc8)] -> id: uploadedFilePath]
2023-03-12 00:16:07 INFO  WebdriverEvents:174 - Got text from [[ChromeDriver: chrome on WINDOWS (3834ef40be1a02de7cfa73b48d911bc8)] -> id: uploadedFilePath]
2023-03-12 00:16:07 INFO  WebdriverEvents:43 - navigating to https://demoqa.com/
2023-03-12 00:16:11 INFO  WebdriverEvents:49 - Navigated to https://demoqa.com/
2023-03-12 00:16:11 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.category-cards>div:first-of-type
2023-03-12 00:16:11 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.category-cards>div:first-of-type
2023-03-12 00:16:11 INFO  WebdriverEvents:102 - Clicking on [[ChromeDriver: chrome on WINDOWS (fc8312fe40f8ff1862bf7f61020d815a)] -> css selector: div.category-cards>div:first-of-type]
2023-03-12 00:16:11 INFO  WebdriverEvents:108 - Clicked on [[ChromeDriver: chrome on WINDOWS (fc8312fe40f8ff1862bf7f61020d815a)] -> css selector: div.category-cards>div:first-of-type]
2023-03-12 00:16:11 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-03-12 00:16:11 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.accordion>div:first-of-type ul #item-7
